Description,Part,References,Value,Footprint,Quantity,Digi-Key_PN
,BTS7008-2EPA,U6 U7 U8 U9,BTS7008-2EPA,TDSO-14,4,BTS70082EPAXUMA1CT-ND
,BTS700n-1EPP,U2 U3 U4 U5,BTS700n-1EPP,TDSO-14,4,BTS70021EPPXUMA1CT-ND
,ISP752R,U20,ISP752R,PG-DSO-8,1,ISP752RFUMA1CT-ND
IC REG LINEAR 3.3V 800MA SOT223,LD1117S33CTR,U18,LD1117S33CTR,SOT-223,1,497-1241-1-ND
,MB85RC256V,U15,MB85RC256V,SOIC-8_3.9x4.9mm_P1.27mm,1,865-1261-1-ND
"High-Speed CAN Transceiver, 1Mbps, 5V supply, SOIC-8",MCP2551-I-SN,U19,MCP2551,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551T-I/SNCT-ND
,MCP9808,U10,MCP9808,MSOP-8_3x3mm_P0.65mm,1,MCP9808T-E/MSCT-ND
"IO expander 16 GPIO, I2C 400kHz, Interrupt, 2.3 - 5.5V, TSSOP-24",PCA9555PW,U12 U13,PCA9555PW,TSSOP-24_4.4x7.8mm_P0.65mm,2,568-1058-1-ND
"16-bit PWM Fm+ I2C-bus LED driver, TSSOP-28",PCA9635,U14,PCA9635,TSSOP-28_4.4x9.7mm_P0.65mm,1,568-4067-1-ND
"ARM Cortex-M4 MCU, 256KB flash, 40KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48",STM32F303CCTx,U11,STM32F303CCTx,LQFP-48_7x7mm_P0.5mm,1,497-13318-ND
,VXO780x-500-M,U22,VXO780x-500-M,VXO78x-500-M,1,102-VXO7805-500-M-CT-ND
IC FLASH 32M SPI 133MHZ 8SOIC,W25Q32JVSSIQ_TR,U1,W25Q32JVSSIQ_TR,SOIC-8_W5.6mm,1,W25Q32JVSSIQCT-ND
Two pin crystal,Crystal,Y2,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,535-9808-1-ND
Two pin crystal,Crystal,Y1,8mHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,535-10630-1-ND
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
59,,,,,,
252,,,,,,
252,,,,,,
1,,,,,,
252,,,,,,
v2,,,,,,
2020-10-15,,,,,,
[u'default'],,,,,,
10/16/2020 2:02:19 AM,,,,,,
DingoPDM.sch,,,,,,
Eeschema (5.1.6)-1,,,,,,
